,TEAM_NAME,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,FG2M,FG2A,FG2_PCT,OUTCOME,DEFICIT_FGM,DEFICIT_FGA,DEFICIT_FG3M,DEFICIT_FG3A,DEFICIT_FTM,DEFICIT_FTA,DEFICIT_OREB,DEFICIT_DREB,DEFICIT_REB,DEFICIT_AST,DEFICIT_STL,DEFICIT_BLK,DEFICIT_TO,DEFICIT_PF,DEFICIT_FG2M,DEFICIT_FG2A
0,Spurs,8,21,0.381,9,11,0.818,6,42,48,29,7,9,14,9,99,33,58,0.5689655172413793,1,0.5466666666666666,0.4647058823529412,0.47058823529411764,0.4375,0.47368421052631576,0.5238095238095238,0.3157894736842105,0.5753424657534246,0.5217391304347826,0.5471698113207547,0.5833333333333334,0.6428571428571429,0.56,0.391304347826087,0.5689655172413793,0.47540983606557374
1,Nets,9,27,0.333,10,10,1.0,13,31,44,24,5,5,11,14,87,25,64,0.390625,0,0.4533333333333333,0.5352941176470588,0.5294117647058824,0.5625,0.5263157894736842,0.47619047619047616,0.6842105263157895,0.4246575342465753,0.4782608695652174,0.4528301886792453,0.4166666666666667,0.35714285714285715,0.44,0.6086956521739131,0.43103448275862066,0.5245901639344263
2,Suns,12,31,0.387,18,20,0.9,13,38,51,17,10,4,12,19,106,26,54,0.48148148148148145,1,0.5507246376811594,0.5029585798816568,0.631578947368421,0.5740740740740741,0.5625,0.5,0.4642857142857143,0.5428571428571428,0.5204081632653061,0.4857142857142857,0.5263157894736842,0.4444444444444444,0.46153846153846156,0.48717948717948717,0.52,0.46956521739130436
3,Pacers,7,23,0.304,14,20,0.7,15,32,47,18,9,5,14,20,83,24,61,0.39344262295081966,0,0.4492753623188406,0.4970414201183432,0.3684210526315789,0.42592592592592593,0.4375,0.5,0.5357142857142857,0.45714285714285713,0.47959183673469385,0.5142857142857142,0.47368421052631576,0.5555555555555556,0.5384615384615384,0.5128205128205128,0.48,0.5304347826086957
4,Kings,8,26,0.308,25,30,0.833,14,36,50,24,4,2,18,19,113,32,55,0.5818181818181818,1,0.5194805194805194,0.47368421052631576,0.5714285714285714,0.6046511627906976,0.5434782608695652,0.5263157894736842,0.4827586206896552,0.6206896551724138,0.5747126436781609,0.5106382978723404,0.2857142857142857,0.2222222222222222,0.6428571428571429,0.4418604651162791,0.5079365079365079,0.4296875
5,Timberwolves,6,17,0.353,21,27,0.778,15,22,37,23,10,7,10,24,101,31,73,0.4246575342465753,0,0.4805194805194805,0.5263157894736842,0.42857142857142855,0.3953488372093023,0.45652173913043476,0.47368421052631576,0.5172413793103449,0.3793103448275862,0.42528735632183906,0.48936170212765956,0.7142857142857143,0.7777777777777778,0.35714285714285715,0.5581395348837209,0.49206349206349204,0.5703125
6,76ers,8,26,0.308,15,25,0.6,10,26,36,13,8,1,18,21,83,22,49,0.4489795918367347,0,0.47619047619047616,0.5319148936170213,0.5714285714285714,0.6046511627906976,0.4411764705882353,0.5434782608695652,0.625,0.43333333333333335,0.47368421052631576,0.4642857142857143,0.5333333333333333,0.3333333333333333,0.5,0.4883720930232558,0.4489795918367347,0.5
7,Knicks,6,17,0.353,19,21,0.905,6,34,40,15,7,2,18,22,91,27,49,0.5510204081632653,1,0.5238095238095238,0.46808510638297873,0.42857142857142855,0.3953488372093023,0.5588235294117647,0.45652173913043476,0.375,0.5666666666666667,0.5263157894736842,0.5357142857142857,0.4666666666666667,0.6666666666666666,0.5,0.5116279069767442,0.5510204081632653,0.5
8,Raptors,8,24,0.333,38,42,0.905,8,26,34,20,8,6,8,26,110,24,56,0.42857142857142855,1,0.47761194029850745,0.4968944099378882,0.7272727272727273,0.6,0.6551724137931034,0.5915492957746479,0.42105263157894735,0.4262295081967213,0.425,0.45454545454545453,0.6666666666666666,0.5,0.3076923076923077,0.48148148148148145,0.42857142857142855,0.4628099173553719
9,Cavaliers,3,16,0.188,20,29,0.69,11,35,46,24,4,6,18,28,93,32,65,0.49230769230769234,0,0.5223880597014925,0.5031055900621118,0.2727272727272727,0.4,0.3448275862068966,0.4084507042253521,0.5789473684210527,0.5737704918032787,0.575,0.5454545454545454,0.3333333333333333,0.5,0.6923076923076923,0.5185185185185185,0.5714285714285714,0.5371900826446281
10,Rockets,15,46,0.326,20,23,0.87,14,33,47,17,8,0,17,23,95,15,36,0.4166666666666667,1,0.46153846153846156,0.4823529411764706,0.7142857142857143,0.5679012345679012,0.5555555555555556,0.5111111111111111,0.4666666666666667,0.4925373134328358,0.4845360824742268,0.5,0.5714285714285714,0.0,0.5483870967741935,0.5111111111111111,0.3409090909090909,0.4044943820224719
11,Mavericks,6,35,0.171,16,22,0.727,16,34,50,17,6,5,14,22,92,29,53,0.5471698113207547,0,0.5384615384615384,0.5176470588235295,0.2857142857142857,0.43209876543209874,0.4444444444444444,0.4888888888888889,0.5333333333333333,0.5074626865671642,0.5154639175257731,0.5,0.42857142857142855,1.0,0.45161290322580644,0.4888888888888889,0.6590909090909091,0.5955056179775281
12,Wizards,8,18,0.444,17,22,0.773,20,33,53,27,7,6,14,24,111,35,75,0.4666666666666667,1,0.5443037974683544,0.5254237288135594,0.6153846153846154,0.5454545454545454,0.425,0.4583333333333333,0.7142857142857143,0.5409836065573771,0.5955056179775281,0.5625,0.3888888888888889,0.46153846153846156,0.5,0.5454545454545454,0.5303030303030303,0.5208333333333334
13,Bucks,5,15,0.333,23,26,0.885,8,28,36,21,11,7,14,20,100,31,69,0.4492753623188406,0,0.45569620253164556,0.4745762711864407,0.38461538461538464,0.45454545454545453,0.575,0.5416666666666666,0.2857142857142857,0.45901639344262296,0.4044943820224719,0.4375,0.6111111111111112,0.5384615384615384,0.5,0.45454545454545453,0.4696969696969697,0.4791666666666667
14,Jazz,5,14,0.357,23,29,0.793,11,31,42,15,6,8,18,25,94,28,57,0.49122807017543857,0,0.44,0.4329268292682927,0.5555555555555556,0.45161290322580644,0.5609756097560976,0.5686274509803921,0.3793103448275862,0.543859649122807,0.4883720930232558,0.4411764705882353,0.35294117647058826,0.5333333333333333,0.6666666666666666,0.5319148936170213,0.42424242424242425,0.42857142857142855
15,Pelicans,4,17,0.235,18,22,0.818,18,26,44,19,11,7,9,22,106,38,76,0.5,1,0.56,0.5670731707317073,0.4444444444444444,0.5483870967741935,0.43902439024390244,0.43137254901960786,0.6206896551724138,0.45614035087719296,0.5116279069767442,0.5588235294117647,0.6470588235294118,0.4666666666666667,0.3333333333333333,0.46808510638297873,0.5757575757575758,0.5714285714285714
16,Magic,3,16,0.188,19,27,0.704,18,26,44,18,10,2,14,20,92,32,62,0.5161290322580645,0,0.4861111111111111,0.5234899328859061,0.2,0.38095238095238093,0.59375,0.6,0.72,0.5,0.5714285714285714,0.5142857142857142,0.5882352941176471,0.2857142857142857,0.4666666666666667,0.5,0.5614035087719298,0.5794392523364486
17,Heat,12,26,0.462,13,18,0.722,7,26,33,17,7,5,16,20,99,25,45,0.5555555555555556,1,0.5138888888888888,0.47651006711409394,0.8,0.6190476190476191,0.40625,0.4,0.28,0.5,0.42857142857142855,0.4857142857142857,0.4117647058823529,0.7142857142857143,0.5333333333333333,0.5,0.43859649122807015,0.4205607476635514
18,Heat,11,23,0.478,17,19,0.895,3,33,36,19,4,5,16,16,94,22,43,0.5116279069767442,1,0.4714285714285714,0.45517241379310347,0.6111111111111112,0.5227272727272727,0.5862068965517241,0.5428571428571428,0.375,0.5409836065573771,0.5217391304347826,0.5135135135135135,0.3076923076923077,0.8333333333333334,0.5925925925925926,0.45714285714285713,0.4230769230769231,0.42574257425742573
19,Hornets,7,21,0.333,12,16,0.75,5,28,33,18,9,1,11,19,93,30,58,0.5172413793103449,0,0.5285714285714286,0.5448275862068965,0.3888888888888889,0.4772727272727273,0.41379310344827586,0.45714285714285713,0.625,0.45901639344262296,0.4782608695652174,0.4864864864864865,0.6923076923076923,0.16666666666666666,0.4074074074074074,0.5428571428571428,0.5769230769230769,0.5742574257425742
20,Trail Blazers,7,19,0.368,13,15,0.867,10,45,55,20,7,3,16,13,94,30,67,0.44776119402985076,1,0.5,0.47513812154696133,0.5833333333333334,0.4523809523809524,0.5909090909090909,0.5555555555555556,0.45454545454545453,0.569620253164557,0.5445544554455446,0.5405405405405406,0.3684210526315789,0.75,0.6666666666666666,0.4642857142857143,0.4838709677419355,0.48201438848920863
21,Celtics,5,23,0.217,9,12,0.75,12,34,46,17,12,1,8,15,88,32,72,0.4444444444444444,0,0.5,0.5248618784530387,0.4166666666666667,0.5476190476190477,0.4090909090909091,0.4444444444444444,0.5454545454545454,0.43037974683544306,0.45544554455445546,0.4594594594594595,0.631578947368421,0.25,0.3333333333333333,0.5357142857142857,0.5161290322580645,0.5179856115107914
22,Thunder,3,17,0.176,19,27,0.704,13,44,57,13,3,12,11,23,86,29,73,0.3972602739726027,0,0.49230769230769234,0.4918032786885246,0.3,0.40476190476190477,0.5135135135135135,0.5294117647058824,0.5,0.5301204819277109,0.5229357798165137,0.3333333333333333,0.3,0.6,0.55,0.5609756097560976,0.5272727272727272,0.5177304964539007
23,Warriors,7,25,0.28,18,24,0.75,13,39,52,26,7,8,9,18,91,26,68,0.38235294117647056,1,0.5076923076923077,0.5081967213114754,0.7,0.5952380952380952,0.4864864864864865,0.47058823529411764,0.5,0.46987951807228917,0.47706422018348627,0.6666666666666666,0.7,0.4,0.45,0.43902439024390244,0.4727272727272727,0.48226950354609927
24,Magic,5,17,0.294,11,15,0.733,13,27,40,14,5,3,17,17,74,24,63,0.38095238095238093,0,0.4084507042253521,0.4968944099378882,0.45454545454545453,0.5151515151515151,0.4074074074074074,0.40540540540540543,0.52,0.4576271186440678,0.47619047619047616,0.3181818181818182,0.2631578947368421,0.25,0.5862068965517241,0.425,0.4,0.4921875
25,Cavaliers,6,16,0.375,16,22,0.727,12,32,44,30,14,9,12,23,106,36,65,0.5538461538461539,1,0.5915492957746479,0.5031055900621118,0.5454545454545454,0.48484848484848486,0.5925925925925926,0.5945945945945946,0.48,0.5423728813559322,0.5238095238095238,0.6818181818181818,0.7368421052631579,0.75,0.41379310344827586,0.575,0.6,0.5078125
26,Pacers,13,26,0.5,24,36,0.667,8,36,44,20,6,4,12,21,111,24,51,0.47058823529411764,1,0.4805194805194805,0.49044585987261147,0.6190476190476191,0.52,0.6666666666666666,0.631578947368421,0.5714285714285714,0.5373134328358209,0.5432098765432098,0.4878048780487805,0.5,0.4,0.5,0.42857142857142855,0.42857142857142855,0.4766355140186916
27,Mavericks,8,24,0.333,12,21,0.571,6,31,37,21,6,6,12,28,100,32,56,0.5714285714285714,0,0.5194805194805194,0.5095541401273885,0.38095238095238093,0.48,0.3333333333333333,0.3684210526315789,0.42857142857142855,0.4626865671641791,0.4567901234567901,0.5121951219512195,0.5,0.6,0.5,0.5714285714285714,0.5714285714285714,0.5233644859813084
28,Knicks,6,22,0.273,10,15,0.667,9,31,40,25,8,5,17,20,86,29,54,0.5370370370370371,0,0.5223880597014925,0.5,0.3,0.3793103448275862,0.43478260869565216,0.4411764705882353,0.47368421052631576,0.5254237288135594,0.5128205128205128,0.5681818181818182,0.38095238095238093,0.5555555555555556,0.5151515151515151,0.5128205128205128,0.6170212765957447,0.574468085106383
29,Rockets,14,36,0.389,13,19,0.684,10,28,38,19,13,4,16,19,91,18,40,0.45,1,0.47761194029850745,0.5,0.7,0.6206896551724138,0.5652173913043478,0.5588235294117647,0.5263157894736842,0.4745762711864407,0.48717948717948717,0.4318181818181818,0.6190476190476191,0.4444444444444444,0.48484848484848486,0.48717948717948717,0.3829787234042553,0.425531914893617
30,Raptors,4,17,0.235,26,32,0.813,8,29,37,21,9,3,12,20,104,33,65,0.5076923076923077,1,0.4868421052631579,0.4939759036144578,0.2222222222222222,0.34,0.7647058823529411,0.7441860465116279,0.42105263157894735,0.48333333333333334,0.46835443037974683,0.4883720930232558,0.6,0.5,0.375,0.43478260869565216,0.5689655172413793,0.5603448275862069
31,Suns,14,33,0.424,8,11,0.727,11,31,42,22,6,3,20,26,100,25,51,0.49019607843137253,0,0.5131578947368421,0.5060240963855421,0.7777777777777778,0.66,0.23529411764705882,0.2558139534883721,0.5789473684210527,0.5166666666666667,0.5316455696202531,0.5116279069767442,0.4,0.5,0.625,0.5652173913043478,0.43103448275862066,0.4396551724137931
32,Jazz,3,9,0.333,8,10,0.8,11,30,41,22,9,6,13,20,95,39,77,0.5064935064935064,0,0.5384615384615384,0.5443037974683544,0.25,0.3103448275862069,0.3333333333333333,0.30303030303030304,0.6111111111111112,0.5172413793103449,0.5394736842105263,0.5238095238095238,0.5,0.6666666666666666,0.4482758620689655,0.5882352941176471,0.5909090909090909,0.5968992248062015
33,Bulls,9,20,0.45,16,23,0.696,7,28,35,20,9,3,16,14,97,27,52,0.5192307692307693,1,0.46153846153846156,0.45569620253164556,0.75,0.6896551724137931,0.6666666666666666,0.696969696969697,0.3888888888888889,0.4827586206896552,0.4605263157894737,0.47619047619047616,0.5,0.3333333333333333,0.5517241379310345,0.4117647058823529,0.4090909090909091,0.40310077519379844
34,Trail Blazers,7,27,0.259,19,23,0.826,18,34,52,30,6,5,15,19,114,37,62,0.5967741935483871,1,0.5116279069767442,0.5144508670520231,1.0,0.7714285714285715,0.48717948717948717,0.48936170212765956,0.72,0.6071428571428571,0.6419753086419753,0.5172413793103449,0.35294117647058826,0.45454545454545453,0.6,0.48717948717948717,0.46835443037974683,0.4492753623188406
35,76ers,0,8,0.0,20,24,0.833,7,22,29,28,11,6,10,20,104,42,76,0.5526315789473685,0,0.4883720930232558,0.48554913294797686,0.0,0.22857142857142856,0.5128205128205128,0.5106382978723404,0.28,0.39285714285714285,0.35802469135802467,0.4827586206896552,0.6470588235294118,0.5454545454545454,0.4,0.5128205128205128,0.5316455696202531,0.5507246376811594
36,Wizards,9,20,0.45,21,29,0.724,16,31,47,25,2,3,20,25,102,27,64,0.421875,0,0.5,0.4970414201183432,0.5625,0.4444444444444444,0.4375,0.4603174603174603,0.5714285714285714,0.5,0.5222222222222223,0.5952380952380952,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.5208333333333334,0.48214285714285715,0.5161290322580645
37,Hawks,7,25,0.28,27,34,0.794,12,31,43,17,16,6,10,23,106,29,60,0.48333333333333334,1,0.5,0.5029585798816568,0.4375,0.5555555555555556,0.5625,0.5396825396825397,0.42857142857142855,0.5,0.4777777777777778,0.40476190476190477,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.4791666666666667,0.5178571428571429,0.4838709677419355
38,Heat,10,23,0.435,21,27,0.778,12,28,40,16,7,4,9,22,97,23,62,0.3709677419354839,0,0.4342105263157895,0.53125,0.43478260869565216,0.45098039215686275,0.5833333333333334,0.54,0.7058823529411765,0.4117647058823529,0.47058823529411764,0.43243243243243246,0.5384615384615384,0.3076923076923077,0.45,0.4782608695652174,0.4339622641509434,0.5688073394495413
39,Warriors,13,28,0.464,15,23,0.652,5,40,45,21,6,9,11,24,114,30,47,0.6382978723404256,1,0.5657894736842105,0.46875,0.5652173913043478,0.5490196078431373,0.4166666666666667,0.46,0.29411764705882354,0.5882352941176471,0.5294117647058824,0.5675675675675675,0.46153846153846156,0.6923076923076923,0.55,0.5217391304347826,0.5660377358490566,0.43119266055045874
40,Nuggets,8,16,0.5,20,27,0.741,14,31,45,22,5,7,14,25,114,35,69,0.5072463768115942,1,0.5512820512820513,0.5089820359281437,0.5333333333333333,0.43243243243243246,0.38461538461538464,0.421875,0.56,0.543859649122807,0.5487804878048781,0.5238095238095238,0.35714285714285715,0.6363636363636364,0.5384615384615384,0.5319148936170213,0.5555555555555556,0.5307692307692308
41,Bulls,7,21,0.333,32,37,0.865,11,26,37,20,9,4,12,22,109,28,61,0.45901639344262296,0,0.44871794871794873,0.49101796407185627,0.4666666666666667,0.5675675675675675,0.6153846153846154,0.578125,0.44,0.45614035087719296,0.45121951219512196,0.47619047619047616,0.6428571428571429,0.36363636363636365,0.46153846153846156,0.46808510638297873,0.4444444444444444,0.46923076923076923
42,Bucks,10,22,0.455,10,13,0.769,19,31,50,22,9,2,16,24,98,29,68,0.4264705882352941,1,0.52,0.5357142857142857,0.5882352941176471,0.5238095238095238,0.5882352941176471,0.43333333333333335,0.7037037037037037,0.5254237288135594,0.5813953488372093,0.4888888888888889,0.5625,0.2857142857142857,0.45714285714285713,0.5714285714285714,0.5,0.5396825396825397
43,Pistons,7,20,0.35,7,17,0.412,8,28,36,23,7,5,19,18,86,29,58,0.5,0,0.48,0.4642857142857143,0.4117647058823529,0.47619047619047616,0.4117647058823529,0.5666666666666667,0.2962962962962963,0.4745762711864407,0.4186046511627907,0.5111111111111111,0.4375,0.7142857142857143,0.5428571428571428,0.42857142857142855,0.5,0.4603174603174603
44,Kings,5,14,0.357,20,24,0.833,7,31,38,16,9,4,9,22,99,32,63,0.5079365079365079,1,0.5285714285714286,0.4935897435897436,0.625,0.45161290322580644,0.5,0.4528301886792453,0.3333333333333333,0.543859649122807,0.48717948717948717,0.5161290322580645,0.75,0.4,0.47368421052631576,0.4888888888888889,0.5161290322580645,0.504
45,Pelicans,3,17,0.176,20,29,0.69,14,26,40,15,3,6,10,23,89,30,62,0.4838709677419355,0,0.4714285714285714,0.5064102564102564,0.375,0.5483870967741935,0.5,0.5471698113207547,0.6666666666666666,0.45614035087719296,0.5128205128205128,0.4838709677419355,0.25,0.6,0.5263157894736842,0.5111111111111111,0.4838709677419355,0.496
